city,country,year,population,co2_emissions_tons_per_capita,renewable_energy_pct,recycling_rate_pct,energy_consumption_kwh_per_capita,water_usage_liters_per_capita,green_space_pct
Lagos,Nigeria,2021,2056361,4.24,24.4,14.1,2550.5,179.1,9.8
Lome,Togo,2020,4007740,3.97,33.2,17.3,1075.5,224.3,23.2
Cotonou,Benin,2019,4829788,2.2,47.4,25.1,834.0,260.1,13.4
Addis Ababa,Ethiopia,2020,3043778,1.28,35.9,30.2,1070.1,199.2,26.9
Abidjan,Ivory Coast,2022,5707658,5.75,26.4,10.9,620.4,62.7,5.3
Kampala,Uganda,2022,4850043,4.5,49.7,39.4,2570.3,143.0,12.1
Niamey,Niger,2022,1305214,4.18,27.1,30.0,711.0,174.2,15.8
Nairobi,Kenya,2020,2891030,3.67,35.9,14.6,2004.4,110.9,3.2
Kampala,Uganda,2019,4228083,3.98,45.1,36.8,2260.5,,13.1
Yaounde,Cameroon,2022,3436224,,59.3,29.5,1372.7,176.2,28.6
Kinshasa,DR Congo,2023,2552237,2.81,28.4,27.1,628.7,103.5,16.4
Bamako,Mali,2022,2859048,1.09,41.2,18.9,1226.4,176.8,11.3
Kinshasa,DR Congo,2019,2387258,2.94,21.2,,630.8,91.4,16.5
Freetown,Sierra Leone,2022,2529819,3.62,32.8,49.4,2289.9,217.3,9.4
Freetown,Sierra Leone,2021,2591083,3.59,32.0,45.2,2309.7,240.1,8.9
Conakry,Guinea,2020,3587853,9.36,18.3,32.2,2047.3,205.4,28.6
Accra,Ghana,2019,1684250,,35.9,33.1,1101.8,317.6,29.0
Freetown,Sierra Leone,2020,2459403,3.41,30.9,45.1,2250.1,238.7,8.7
Dakar,Senegal,2021,519955,5.92,44.0,26.3,1904.4,,21.8
Lagos,Nigeria,2019,1958845,4.34,21.4,12.0,2475.8,188.8,10.0
Accra,Ghana,2022,1903600,2.23,37.7,37.0,1226.3,277.4,27.4
Conakry,Guinea,2021,3720120,1.37,17.1,32.5,2083.1,217.7,28.5
Banjul,Gambia,2021,2157770,31.68,21.2,12.0,420.5,255.0,19.1
Accra,Ghana,2021,1816054,2.52,38.4,35.9,1203.7,314.9,28.8
Cotonou,Benin,2021,5046827,2.37,48.5,27.6,821.6,279.7,12.8
Serrekunda,Gambia,2019,2605413,1.4,38.4,,2176.6,189.0,13.7
Cotonou,Benin,2019,4829788,2.2,47.4,25.1,834.0,260.1,13.4
Bamako,Mali,2020,2551185,1.4,39.1,15.7,1078.9,152.1,12.3
Addis Ababa,Ethiopia,2019,2902967,1.83,35.3,28.8,1046.8,193.0,27.0
Abidjan,Ivory Coast,2019,4999303,5.44,19.8,7.8,506.9,48.7,5.5
Ouagadougou,Burkina Faso,2019,1901596,1.77,12.0,11.8,914.6,71.4,5.4
Yaounde,Cameroon,2021,3154155,1.31,59.4,32.1,1242.9,173.3,28.4
Bissau,Guinea-Bissau,2023,1588296,6.01,33.0,32.8,2553.2,69.8,25.7
Ouagadougou,Burkina Faso,2020,1923602,1.67,12.7,13.5,959.6,102.8,4.8
Nairobi,Kenya,2021,3018819,3.74,38.4,15.3,2075.6,112.1,2.1
Bamako,Mali,2019,2492614,1.51,36.8,14.3,1035.7,183.3,12.6
Kampala,Uganda,2022,4850043,4.5,49.7,39.4,2570.3,143.0,12.1
Lome,Togo,2019,3899865,3.95,32.4,16.7,1002.1,218.0,23.3
Dakar,Senegal,2020,483176,5.82,43.1,26.8,1787.7,154.7,22.0
Lagos,Nigeria,2020,2045529,4.21,22.7,13.8,2589.3,190.2,9.6
Kampala,Uganda,2021,4385645,4.0,46.3,39.2,2348.7,155.9,12.0
Conakry,Guinea,2019,3476083,1.29,15.9,31.0,1929.3,198.1,29.0
Bissau,Guinea-Bissau,2022,1553014,5.71,34.0,30.2,2435.7,74.0,26.6
Lome,Togo,2023,4540782,4.57,38.9,20.8,1182.1,,21.8
Addis Ababa,Ethiopia,2023,3121042,1.89,45.1,35.3,1130.0,182.6,23.8
Monrovia,Liberia,2021,2145488,1.27,53.7,29.4,1465.3,156.4,23.6
Abidjan,Ivory Coast,2020,5188624,5.75,21.5,9.6,565.9,60.9,5.3
Freetown,Sierra Leone,2019,2421690,3.56,29.1,43.9,2138.6,256.8,9.4
Niamey,Niger,2020,1197014,4.04,25.9,29.2,706.7,176.1,16.7
Yaounde,Cameroon,2019,2992755,1.87,55.4,,1175.8,166.0,28.6
Nairobi,Kenya,2022,2886248,3.97,40.6,17.3,1979.4,110.6,3.0
