Transaction_ID,Date,Branch,City,Category,Product,Customer_Type,Quantity,Unit_Price,Discount,Sales,Profit,Payment_Method
SM-1001,2026-05-04,B,Kuala Lumpur,Household,Dish Soap,Non-Member,4,7.86,0,31.44,13.44,Cash
SM-1002,2026-08-23,C,Penang,Household,Dish Soap,Member,5,7.77,0,38.85,16.35,E-Wallet
SM-1003,2026-07-09,B,Kuala Lumpur,Snacks,Biscuits,Member,1,6.21,0.05,5.9,2.9,E-Wallet
SM-1004,2026-06-17,B,Kuala Lumpur,Personal Care,Body Wash,Member,5,17.57,0,87.85,32.85,E-Wallet
SM-1005,2026-07-08,C,Penang,Snacks,Biscuits,Non-Member,3,5.86,0,17.58,8.58,Cash
SM-1006,2026-06-06,C,Penang,Personal Care,Toothpaste,Non-Member,4,11.2,0.05,42.56,18.56,Card
SM-1007,2026-08-06,B,Kuala Lumpur,Household,Trash Bags,Non-Member,3,9.92,0.05,28.27,10.27,E-Wallet
SM-1008,2026-08-12,A,Alor Setar,Groceries,Egg Tray,Member,3,14.86,0,44.58,11.58,Card
SM-1009,2026-06-12,B,Kuala Lumpur,Groceries,Rice 5kg,Non-Member,3,28.46,0,85.38,22.38,Cash
SM-1010,2026-05-12,D,Johor Bahru,Groceries,Milk Pack,Member,3,8.79,0.1,23.73,5.73,Card
SM-1011,2026-08-04,C,Penang,Groceries,Rice 5kg,Non-Member,1,28.5,0,28.5,7.5,E-Wallet
SM-1012,2026-08-18,B,Kuala Lumpur,Household,Dish Soap,Non-Member,8,8.01,0.05,60.88,24.88,Cash
SM-1013,2026-06-15,B,Kuala Lumpur,Snacks,Biscuits,Non-Member,6,5.82,0.05,33.17,15.17,E-Wallet
SM-1014,2026-06-11,B,Kuala Lumpur,Snacks,Biscuits,Member,8,6.12,0,48.96,24.96,E-Wallet
SM-1015,2026-05-27,D,Johor Bahru,Groceries,Cooking Oil,,4,16.98,0.1,61.13,13.13,Card
SM-1016,2026-07-07,D,Johor Bahru,Personal Care,Body Wash,Member,3,18.0,0.1,48.6,15.6,E-Wallet
SM-1017,2026-05-13,D,Johor Bahru,Household,Detergent,Member,1,24.64,0,24.64,8.64,Cash
SM-1018,2026-06-25,C,Penang,Groceries,Milk Pack,Non-Member,10,8.93,0.1,80.37,20.37,Cash
SM-1019,2026-06-09,B,Kuala Lumpur,Household,Tissue Pack,Member,4,12.3,0.05,46.74,18.74,E-Wallet
SM-1020,2026-07-10,B,Kuala Lumpur,Household,Trash Bags,Member,3,9.89,0.1,26.7,8.7,Cash
SM-1021,2026-06-23,B,Kuala Lumpur,Snacks,Chips,Non-Member,3,5.12,0.1,13.82,6.32,E-Wallet
