Order_ID,Order_Date,Outlet,Item_Category,Item_Name,Order_Channel,Customer_Type,Quantity,Unit_Price,Order_Value,Preparation_Minutes,Rating,Payment_Method
CF-2001,2026-06-25,Campus,Dessert,Brownie,Dine-In,Staff,1,7.99,7.99,8,5.0,Cash
CF-2002,2026-08-02,Campus,Coffee,Cappuccino,Dine-In,Student,1,10.78,10.78,9,5.0,E-Wallet
CF-2003,2026-05-14,Mall,Food,Chicken Sandwich,Dine-In,Student,1,14.71,14.71,10,4.5,E-Wallet
CF-2004,2026-06-01,Campus,Food,Pasta,Dine-In,Student,2,17.76,35.52,8,4.0,Card
CF-2005,2026-05-17,Campus,Coffee,Americano,Dine-In,Student,1,7.97,7.97,3,4.5,Card
CF-2006,2026-07-11,Campus,Coffee,Latte,Delivery,Student,1,12.08,12.08,14,4.0,Cash
CF-2007,2026-05-07,Campus,Coffee,Latte,Dine-In,Public,4,11.89,47.56,9,5.0,E-Wallet
CF-2008,2026-08-10,City Centre,Tea,Milk Tea,Delivery,Student,1,8.96,8.96,13,3.5,Cash
CF-2009,2026-08-05,City Centre,Dessert,Brownie,Dine-In,Public,1,8.05,8.05,5,4.5,Cash
CF-2010,2026-08-19,City Centre,Dessert,Cheesecake,Takeaway,Student,2,12.0,24.0,7,4.0,E-Wallet
CF-2011,2026-06-20,Campus,Food,Pasta,Takeaway,Student,1,17.71,17.71,10,4.5,Cash
CF-2012,2026-06-15,Campus,Coffee,Americano,Delivery,Student,1,8.15,8.15,11,5.0,E-Wallet
CF-2013,2026-06-11,Campus,Dessert,Brownie,Takeaway,Student,1,8.2,8.2,9,3.0,Cash
CF-2014,2026-05-05,City Centre,Coffee,Mocha,Dine-In,Public,1,13.16,13.16,8,4.0,Cash
CF-2015,2026-06-07,City Centre,Dessert,Cheesecake,Delivery,Student,2,12.27,24.54,13,5.0,E-Wallet
CF-2016,2026-06-20,Campus,Tea,Green Tea,Dine-In,Staff,3,8.09,24.27,4,5.0,E-Wallet
CF-2017,2026-06-06,Campus,Tea,Lemon Tea,Delivery,Student,5,8.39,41.95,14,4.5,Cash
CF-2018,2026-05-10,Mall,Tea,Green Tea,Takeaway,Student,1,7.92,7.92,6,5.0,Cash
CF-2019,2026-05-14,Campus,Tea,Green Tea,Dine-In,Staff,2,7.88,15.76,9,,Cash
CF-2020,2026-05-04,City Centre,Tea,Milk Tea,Delivery,Public,1,8.89,8.89,6,5.0,E-Wallet
CF-2021,2026-06-14,Mall,Coffee,Latte,Takeaway,Public,1,12.33,12.33,9,5.0,E-Wallet
CF-2022,2026-05-10,Mall,Dessert,Brownie,Takeaway,Public,1,7.86,7.86,7,3.0,E-Wallet
CF-2023,2026-07-03,City Centre,Coffee,Cappuccino,Dine-In,Student,1,10.81,10.81,9,5.0,Cash
CF-2024,2026-08-12,City Centre,Food,Croissant,Takeaway,Student,1,8.23,8.23,7,4.0,E-Wallet
CF-2025,2026-08-24,Campus,Coffee,Mocha,Takeaway,Student,2,12.74,25.48,6,4.0,Cash
CF-2026,2026-07-30,Campus,Coffee,Latte,Delivery,Student,3,11.97,35.91,17,4.0,E-Wallet
CF-2027,2026-06-23,Mall,Food,Nasi Lemak,Dine-In,Student,3,10.23,30.69,35,4.5,Card
CF-2028,2026-08-07,City Centre,Coffee,Latte,Dine-In,Student,1,11.82,11.82,10,4.5,E-Wallet
