Booking_ID,Booking_Date,Hotel_Location,Room_Type,Guest_Type,Booking_Channel,Nights,Guests,Room_Rate,Discount,Booking_Revenue,Cancellation_Status,Rating
HB-3001,2026-07-17,Penang,Deluxe,Leisure,Website,4,4,251.73,0.05,956.57,No,3.0
HB-3002,2026-07-03,Kuala Lumpur,Deluxe,Leisure,Walk-In,3,2,290.45,0.1,784.21,No,4.5
HB-3003,2026-05-16,Penang,Deluxe,Business,Website,4,2,286.01,0.05,0,Yes,
HB-3004,2026-07-14,Kuala Lumpur,Deluxe,Leisure,Travel App,1,2,266.36,0,266.36,No,3.5
HB-3005,2026-05-03,Kuala Lumpur,Deluxe,Family,Corporate,2,4,240.7,0,0,Yes,
HB-3006,2026-06-19,Penang,Standard,Business,Walk-In,2,2,193.26,0,0,Yes,
HB-3007,2026-06-24,Penang,Family,Leisure,Travel App,4,2,354.24,0.15,1204.42,No,4.5
HB-3008,2026-05-07,Penang,Standard,Business,Website,1,2,168.37,0.1,151.53,No,4.0
HB-3009,2026-05-13,Melaka,Family,Family,Website,3,4,336.78,0.1,909.31,No,3.5
HB-3010,2026-06-03,Penang,Deluxe,Business,Travel App,2,2,247.05,0.05,469.39,No,4.0
HB-3011,2026-08-24,Penang,Standard,Business,Corporate,4,2,201.37,0,805.48,No,4.5
HB-3012,2026-05-12,Kuala Lumpur,Standard,Leisure,Walk-In,3,2,167.64,0.1,452.63,No,4.0
HB-3013,2026-05-06,Langkawi,Family,Business,Walk-In,3,3,310.03,0.1,0,Yes,
HB-3014,2026-07-20,Kuala Lumpur,Standard,Family,Corporate,1,4,183.55,0.15,156.02,No,4.0
HB-3015,2026-05-29,Langkawi,Deluxe,Leisure,Walk-In,2,2,260.11,0.1,468.2,No,3.5
HB-3016,2026-08-17,Langkawi,Deluxe,Business,Website,3,2,244.97,,734.91,No,4.5
HB-3017,2026-05-03,Kuala Lumpur,Standard,Leisure,Travel App,3,2,191.43,0.1,516.86,No,5.0
HB-3018,2026-08-10,Melaka,Deluxe,Business,Corporate,3,1,250.74,0.1,677.0,No,4.5
HB-3019,2026-07-02,Penang,Suite,Leisure,Walk-In,2,2,454.57,0,909.14,No,3.5
HB-3020,2026-07-16,Melaka,Standard,Leisure,Travel App,5,1,195.44,0,0,Yes,
HB-3021,2026-08-01,Melaka,Deluxe,Business,Corporate,2,2,264.13,0.15,449.02,No,4.0
HB-3022,2026-05-23,Kuala Lumpur,Family,Family,Corporate,3,2,305.25,0,915.75,No,3.0
HB-3023,2026-07-23,Langkawi,Family,Business,Website,7,2,342.71,0.15,2039.12,No,5.0
HB-3024,2026-05-08,Kuala Lumpur,Deluxe,Business,Website,7,1,246.74,0,1727.18,No,4.0
HB-3025,2026-05-06,Kuala Lumpur,Standard,Business,Travel App,3,1,167.93,0.05,478.6,No,4.0
HB-3026,2026-05-11,Kuala Lumpur,Deluxe,Leisure,Travel App,5,4,278.65,0,1393.25,No,4.0
HB-3027,2026-05-13,Penang,Deluxe,Business,Corporate,3,4,252.79,0.15,644.61,No,4.5
HB-3028,2026-07-24,Kuala Lumpur,Deluxe,Business,Travel App,5,2,266.39,0,1331.95,No,3.0
HB-3029,2026-08-20,Langkawi,Standard,Leisure,Travel App,3,4,200.69,0,602.07,No,3.5
HB-3030,2026-06-09,Kuala Lumpur,Deluxe,Leisure,Website,2,1,270.61,0,541.22,No,4.0
HB-3031,2026-08-06,Kuala Lumpur,Suite,Leisure,Travel App,6,1,468.33,0.05,2669.48,No,4.5
HB-3032,2026-06-22,Melaka,Family,Business,Walk-In,2,3,355.62,0,711.24,No,4.5
HB-3033,2026-07-23,Langkawi,Standard,Business,Corporate,14,3,193.24,0,2705.36,No,4.5
HB-3034,2026-07-22,Kuala Lumpur,Deluxe,Leisure,Website,2,2,282.7,0.05,0,Yes,
HB-3035,2026-07-03,Melaka,Standard,Business,Website,1,2,192.05,0.05,182.45,No,5.0
HB-3036,2026-07-25,Kuala Lumpur,Suite,Leisure,Website,2,2,458.02,0,916.04,No,4.5
HB-3037,2026-07-08,Langkawi,Deluxe,Leisure,Corporate,2,3,280.0,0,560.0,No,4.5
HB-3038,2026-05-15,Melaka,Deluxe,Business,Website,2,1,273.05,0.15,464.19,No,4.5
HB-3039,2026-06-30,Melaka,Standard,Family,Travel App,2,4,170.71,0.05,324.35,No,3.5
HB-3040,2026-06-17,Melaka,Standard,Leisure,Travel App,5,2,179.32,0.05,851.77,No,3.0
HB-3041,2026-08-10,Kuala Lumpur,Standard,Leisure,Travel App,1,2,170.42,0,170.42,No,4.0
HB-3042,2026-05-08,Langkawi,Standard,Leisure,Travel App,4,2,192.08,0,768.32,No,3.5
HB-3043,2026-08-15,Kuala Lumpur,Deluxe,Leisure,Travel App,6,2,249.12,0,1494.72,No,4.5
HB-3044,2026-08-23,Langkawi,Family,Business,Travel App,2,2,345.5,0.1,621.9,No,5.0
HB-3045,2026-08-04,Penang,Deluxe,Family,,3,2,258.07,0.1,696.79,No,4.0
HB-3046,2026-07-23,Kuala Lumpur,Suite,Leisure,Travel App,3,2,479.91,0.15,1223.77,No,4.0
HB-3047,2026-06-25,Kuala Lumpur,Deluxe,Family,Website,4,1,245.11,0,0,Yes,
HB-3048,2026-06-04,Kuala Lumpur,Standard,Leisure,Corporate,4,2,178.69,0,714.76,No,4.0
HB-3049,2026-05-11,Penang,Standard,Leisure,Corporate,5,4,200.2,0,1001.0,No,4.5
HB-3050,2026-05-19,Melaka,Standard,Family,Travel App,5,2,195.47,0.05,0,Yes,
HB-3051,2026-07-29,Penang,Suite,Leisure,Corporate,3,4,465.9,0.1,1257.93,No,4.5
HB-3052,2026-08-02,Langkawi,Standard,Leisure,Travel App,1,2,171.05,0,171.05,No,4.5
HB-3053,2026-06-07,Penang,Family,Family,Travel App,1,1,307.73,0.15,261.57,No,3.0
HB-3054,2026-07-24,Melaka,Deluxe,Leisure,Walk-In,1,2,239.84,0,239.84,No,4.0
HB-3055,2026-08-22,Kuala Lumpur,Standard,Family,Corporate,2,2,196.71,0,393.42,No,4.5
HB-3056,2026-06-01,Melaka,Standard,Leisure,Website,6,2,186.87,0.1,1009.1,No,4.0
HB-3057,2026-05-22,Penang,Standard,Family,Website,2,3,168.97,0,337.94,No,4.0
HB-3058,2026-06-16,Kuala Lumpur,Standard,Leisure,Travel App,1,2,183.59,0.1,165.23,No,4.0
HB-3059,2026-07-29,Melaka,Family,Leisure,Corporate,2,1,349.27,0,698.54,No,3.0
HB-3060,2026-05-06,Kuala Lumpur,Standard,Leisure,Travel App,1,1,181.83,0.1,163.65,No,4.5
HB-3061,2026-08-19,Kuala Lumpur,Standard,Leisure,Corporate,3,2,187.46,0,562.38,No,4.5
HB-3062,2026-06-25,Langkawi,Family,Business,Travel App,2,2,353.72,,601.32,No,4.0
HB-3063,2026-08-15,Melaka,Standard,Business,Travel App,5,2,193.48,0.1,870.66,No,4.5
HB-3064,2026-06-13,Kuala Lumpur,Standard,Business,Travel App,3,4,180.9,0.15,461.3,No,3.0
HB-3065,2026-07-17,Langkawi,Standard,Family,Walk-In,4,3,200.53,0,0,Yes,
HB-3066,2026-05-05,Langkawi,Deluxe,Family,Travel App,2,2,286.23,0.05,543.84,No,4.0
HB-3067,2026-08-20,Kuala Lumpur,Standard,Business,Corporate,2,3,169.14,0.15,287.54,No,4.5
HB-3068,2026-05-30,Melaka,Deluxe,Business,Corporate,5,2,277.68,0.15,1180.14,No,3.5
HB-3069,2026-06-06,Kuala Lumpur,Suite,Business,Travel App,4,1,479.82,0.15,1631.39,No,4.5
HB-3070,2026-07-09,Kuala Lumpur,Standard,Leisure,Walk-In,1,2,174.19,0,174.19,No,3.0
HB-3071,2026-06-01,Langkawi,Standard,Leisure,Website,1,2,176.83,0,176.83,No,3.5
HB-3072,2026-05-03,Penang,Family,Business,Travel App,4,2,332.54,0,1330.16,No,4.5
HB-3073,2026-06-27,Kuala Lumpur,Suite,Leisure,Walk-In,2,1,521.25,0.1,938.25,No,4.0
HB-3074,2026-05-20,Penang,Family,Business,Walk-In,3,2,334.24,0.1,902.45,No,4.5
HB-3075,2026-05-12,Penang,Standard,Business,Travel App,1,4,182.17,0.1,163.95,No,3.5
HB-3076,2026-06-07,Langkawi,Standard,Leisure,Corporate,2,3,189.28,0,378.56,No,3.5
HB-3077,2026-06-03,Kuala Lumpur,Suite,Business,Corporate,1,1,481.13,0,481.13,No,4.0
HB-3078,2026-07-14,Langkawi,Deluxe,Family,Corporate,7,4,241.31,0,1689.17,No,4.5
HB-3079,2026-07-29,Kuala Lumpur,Standard,Business,Walk-In,3,4,166.64,0,0,Yes,
HB-3080,2026-06-24,Melaka,Standard,Leisure,Corporate,3,1,186.33,0.1,503.09,No,3.5
HB-3081,2026-05-07,Kuala Lumpur,Family,Family,Website,7,1,345.99,0.1,2179.74,No,4.0
HB-3082,2026-06-09,Penang,Deluxe,Leisure,Travel App,4,3,285.17,0.1,1026.61,No,5.0
HB-3083,2026-06-15,Langkawi,Deluxe,Leisure,Walk-In,4,4,250.98,0.15,0,Yes,
HB-3084,2026-06-03,Melaka,Deluxe,Family,Website,7,1,269.98,0,1889.86,No,3.5
HB-3085,2026-08-18,Kuala Lumpur,Family,Leisure,Walk-In,6,4,340.68,0,2044.08,No,5.0
HB-3086,2026-08-09,Penang,Deluxe,Leisure,Website,2,3,276.55,0.05,525.45,No,3.5
HB-3087,2026-05-29,Langkawi,Deluxe,Leisure,Website,3,2,272.01,0.1,734.43,No,3.0
HB-3088,2026-05-21,Langkawi,Standard,Business,Walk-In,4,2,175.07,0.05,0,Yes,
HB-3089,2026-05-29,Langkawi,Family,Leisure,Travel App,2,3,351.47,0.1,632.65,No,3.5
HB-3090,2026-06-12,Penang,Standard,Leisure,Corporate,4,2,185.02,0,740.08,No,4.0
HB-3091,2026-08-17,Melaka,Standard,Family,Travel App,1,3,170.16,0.1,153.14,No,4.5
HB-3092,2026-05-16,Melaka,Standard,Family,Walk-In,3,2,193.67,0.1,522.91,No,4.5
HB-3093,2026-07-02,Langkawi,Family,Business,Website,5,2,329.48,,0,Yes,
HB-3094,2026-05-27,Langkawi,Suite,Business,Website,3,1,455.17,0.15,1160.68,No,4.5
HB-3095,2026-05-04,Melaka,Standard,Leisure,Website,4,2,200.35,0.15,0,Yes,
HB-3096,2026-07-14,Kuala Lumpur,Family,Family,Corporate,3,2,327.37,0.05,933.0,No,4.0
HB-3097,2026-05-16,Kuala Lumpur,Family,Leisure,Corporate,3,3,344.83,0,1034.49,No,5.0
HB-3098,2026-08-11,Penang,Standard,Leisure,Travel App,6,1,176.91,0.15,902.24,No,4.0
HB-3099,2026-06-14,Langkawi,Standard,Family,Website,4,2,178.99,0.15,608.57,No,4.0
HB-3100,2026-08-07,Langkawi,Deluxe,Leisure,Corporate,2,1,282.18,0,564.36,No,4.5
HB-3101,2026-08-23,Penang,Deluxe,Family,Walk-In,5,2,288.6,0,1443.0,No,4.5
HB-3102,2026-08-09,Penang,Standard,Leisure,Corporate,5,2,177.12,0.05,841.32,No,4.5
HB-3103,2026-06-10,Langkawi,Standard,Leisure,Website,3,1,174.43,0.05,0,Yes,
