Order_ID,Order_Date,Region,Category,Product,Customer_Segment,Quantity,Unit_Price,Discount,Sales,Shipping_Cost,Profit,Return_Status
EC-4001,2026-07-11,Central,Beauty,Sunscreen,New,1,41.33,0.05,39.26,5.29,14.97,No
EC-4002,2026-05-16,South,Home,Storage Box,Returning,1,36.35,0.1,32.72,13.01,1.71,No
EC-4003,2026-08-03,East,Electronics,Mouse,New,4,66.88,0.1,240.77,17.02,83.75,No
EC-4004,2026-07-29,North,Beauty,Sunscreen,New,3,40.63,0,121.89,16.49,48.4,No
EC-4005,2026-08-14,Central,Electronics,Power Bank,Returning,3,96.68,0.05,275.54,17.1,84.44,No
EC-4006,2026-07-31,East,Home,Kettle,New,2,92.41,0.1,166.34,10.64,47.7,No
EC-4007,2026-05-26,East,Beauty,Serum,New,1,53.09,0.1,47.78,11.35,9.43,No
EC-4008,2026-07-05,Central,Electronics,Power Bank,New,1,98.3,0,98.3,9.55,30.75,No
EC-4009,2026-05-17,South,Beauty,Perfume,Returning,2,118.61,0,237.22,14.42,67.22,Yes
EC-4010,2026-06-05,South,Home,Kettle,Returning,3,88.91,0.1,240.06,10.81,67.25,No
EC-4011,2026-08-04,North,Fashion,T-Shirt,Returning,1,43.68,0.05,41.5,5.17,14.33,No
EC-4012,2026-07-28,South,Home,Desk Fan,New,1,107.68,0,107.68,17.8,24.88,No
EC-4013,2026-05-28,East,Beauty,Cleanser,New,3,38.18,0.15,97.36,21.89,24.47,No
EC-4014,2026-05-21,Central,Fashion,T-Shirt,VIP,6,45.91,0.05,261.69,16.67,113.02,No
EC-4015,2026-05-11,Central,Fashion,T-Shirt,Returning,1,46.51,0.1,41.86,17.87,1.99,No
EC-4016,2026-06-08,South,Home,Storage Box,New,2,35.16,0.15,59.77,8.43,15.34,No
EC-4017,2026-06-09,North,Fashion,Jeans,New,2,93.96,0.05,178.52,9.35,73.17,No
EC-4018,2026-07-13,Central,Home,Storage Box,New,1,36.28,0.2,29.02,12.19,-1.17,No
EC-4019,2026-07-03,North,Beauty,Sunscreen,Returning,4,42.15,0.05,160.17,10.31,73.86,No
EC-4020,2026-05-02,Central,Fashion,T-Shirt,Returning,1,44.62,0.05,42.39,13.3,0.73,Yes
EC-4021,2026-05-13,North,Beauty,Cleanser,Returning,4,39.44,0,157.76,6.05,83.71,No
EC-4022,2026-08-21,Central,Electronics,Keyboard,Returning,1,123.8,,123.8,7.8,44.0,No
EC-4023,2026-07-17,East,Electronics,Webcam,New,2,181.29,0.15,308.19,9.74,78.45,No
EC-4024,2026-08-12,North,Fashion,Backpack,New,5,83.52,0.05,396.72,8.85,167.87,No
EC-4025,2026-05-14,East,Electronics,Keyboard,VIP,1,117.35,0,117.35,11.34,34.01,No
EC-4026,2026-05-14,South,Electronics,Webcam,Returning,1,175.05,0.2,140.04,11.29,18.75,No
EC-4027,2026-05-06,North,Beauty,Perfume,Returning,1,124.56,0.15,105.88,14.02,31.86,No
EC-4028,2026-08-09,East,Beauty,Perfume,New,1,118.44,0.05,112.52,11.31,24.33,Yes
EC-4029,2026-07-26,Central,Home,Storage Box,Returning,3,35.32,0.05,100.66,8.25,23.31,Yes
EC-4030,2026-08-02,South,Fashion,T-Shirt,New,2,44.83,0.05,85.18,10.99,30.19,No
EC-4031,2026-07-30,East,Fashion,Backpack,Returning,5,82.2,0.1,369.9,10.94,138.96,No
EC-4032,2026-05-15,South,Fashion,Jeans,Returning,3,96.93,0.15,247.17,14.04,89.13,No
EC-4033,2026-05-26,Central,Fashion,T-Shirt,New,3,46.72,0,140.16,12.44,61.72,No
EC-4034,2026-08-03,North,Beauty,Perfume,New,4,123.4,0.1,444.24,14.97,189.27,No
EC-4035,2026-06-08,South,Electronics,Webcam,New,5,178.3,0,891.5,14.89,326.61,No
EC-4036,2026-06-14,South,Home,Storage Box,New,3,35.79,0,107.37,15.83,37.54,No
EC-4037,2026-05-19,South,Beauty,Serum,VIP,3,55.59,0.15,141.75,15.19,45.56,No
EC-4038,2026-08-15,Central,Fashion,Jeans,Returning,1,96.63,0,96.63,9.17,39.46,No
EC-4039,2026-05-11,East,Home,Storage Box,Returning,1,34.38,0,34.38,15.87,0.51,No
EC-4040,2026-08-04,North,Electronics,Mouse,VIP,4,66.44,0,265.76,15.91,109.85,No
EC-4041,2026-08-12,East,Beauty,Serum,New,1,55.03,0.05,52.28,21.67,3.61,No
EC-4042,2026-06-03,Central,Home,Storage Box,Returning,1,35.26,0.1,31.73,9.34,4.39,No
EC-4043,2026-05-21,Central,Beauty,Perfume,Returning,3,116.49,0.05,332.0,17.8,134.2,No
EC-4044,2026-05-26,Central,Beauty,Sunscreen,New,1,41.32,0.2,33.06,15.97,-1.91,No
EC-4045,2026-07-08,North,Beauty,Serum,New,5,55.7,0.1,250.65,16.73,61.32,Yes
EC-4046,2026-05-19,Central,Electronics,Mouse,Returning,2,67.11,0,134.22,14.01,50.21,No
EC-4047,2026-05-10,North,Beauty,Serum,,4,54.02,0.15,183.67,9.57,66.1,No
EC-4048,2026-08-23,Central,Home,Kettle,Returning,3,88.12,0.15,224.71,8.05,54.66,No
EC-4049,2026-07-03,South,Home,Storage Box,Returning,1,35.88,0,35.88,11.23,6.65,No
EC-4050,2026-06-01,Central,Fashion,Backpack,Returning,2,84.66,0.2,135.46,5.25,21.89,Yes
EC-4051,2026-07-08,Central,Electronics,Mouse,VIP,2,65.35,0,130.7,11.75,48.95,No
EC-4052,2026-06-02,Central,Home,Desk Fan,Returning,5,110.39,0,551.95,16.02,210.93,No
EC-4053,2026-07-04,Central,Home,Kettle,Returning,4,92.66,0.05,352.11,17.62,118.49,No
EC-4054,2026-07-28,North,Home,Storage Box,Returning,1,34.98,0.1,31.48,13.78,-0.3,No
