Member_ID,Join_Date,Branch,Age_Group,Gender,Membership_Plan,Monthly_Fee,Visits_Last_Month,Personal_Training,Satisfaction_Score,Renewal_Status,Referral_Source
GM-6001,2026-07-31,Penang,18-24,Female,Basic,80,0,Yes,4.6,Yes,Walk-In
GM-6002,2026-07-23,Alor Setar,25-34,Female,Basic,80,0,No,3.5,Yes,University/Workplace
GM-6003,2026-08-07,Alor Setar,35-44,Female,Standard,120,17,No,3.2,Yes,Friend
GM-6004,2026-05-19,Alor Setar,18-24,Female,Basic,80,3,No,4.3,No,Social Media
GM-6005,2026-07-04,Kuala Lumpur,18-24,Male,Basic,80,12,Yes,5,Yes,Social Media
GM-6006,2026-06-05,Alor Setar,18-24,Male,Premium,180,6,No,4.6,Yes,Friend
GM-6007,2026-05-10,Alor Setar,18-24,Male,Premium,180,15,Yes,3.8,Yes,Friend
GM-6008,2026-05-16,Kuala Lumpur,35-44,Female,Standard,120,9,No,4.2,No,Social Media
GM-6009,2026-07-16,Alor Setar,25-34,Female,Standard,120,8,Yes,3.6,Yes,Walk-In
GM-6010,2026-08-12,Penang,25-34,Female,Basic,80,7,No,4.3,Yes,University/Workplace
GM-6011,2026-05-29,Kuala Lumpur,25-34,Female,Standard,120,15,No,3.6,Yes,University/Workplace
GM-6012,2026-08-18,Penang,18-24,Female,Basic,80,11,No,3.5,Yes,University/Workplace
GM-6013,2026-07-15,Alor Setar,45+,Male,Standard,120,13,No,4.5,Yes,University/Workplace
GM-6014,2026-07-13,Penang,25-34,Female,Standard,120,7,No,4.3,Yes,Walk-In
GM-6015,2026-07-12,Kuala Lumpur,25-34,Male,Standard,120,3,No,2.7,No,Walk-In
GM-6016,2026-07-27,Penang,25-34,Female,Basic,80,12,No,4.1,Yes,Walk-In
GM-6017,2026-06-03,Kuala Lumpur,35-44,Female,Basic,80,5,No,3.8,Yes,Walk-In
GM-6018,2026-05-12,Alor Setar,18-24,Female,Basic,80,3,No,,Yes,Friend
GM-6019,2026-06-06,Penang,25-34,Male,Premium,180,21,No,3.8,Yes,Social Media
GM-6020,2026-06-01,Kuala Lumpur,18-24,Female,Premium,180,10,No,3.1,Yes,Walk-In
GM-6021,2026-06-03,Alor Setar,25-34,Male,Premium,180,14,No,3.3,No,University/Workplace
GM-6022,2026-05-06,Kuala Lumpur,25-34,Female,Standard,120,8,Yes,3.3,No,Walk-In
GM-6023,2026-08-01,Kuala Lumpur,25-34,Male,Basic,80,8,No,3.3,No,Social Media
GM-6024,2026-07-11,Penang,25-34,Male,Basic,80,35,No,3.9,Yes,University/Workplace
GM-6025,2026-06-03,Kuala Lumpur,25-34,Female,Basic,80,11,No,1.7,Yes,Social Media
GM-6026,2026-06-10,Kuala Lumpur,25-34,Female,Basic,80,6,No,4.4,No,Friend
GM-6027,2026-08-17,Kuala Lumpur,18-24,Male,Premium,180,20,No,3.2,Yes,University/Workplace
GM-6028,2026-08-24,Penang,18-24,Female,Standard,120,10,Yes,4.2,Yes,Friend
GM-6029,2026-07-11,Kuala Lumpur,35-44,Male,Basic,80,10,No,4.3,Yes,Friend
GM-6030,2026-06-09,Kuala Lumpur,18-24,Male,Standard,120,18,No,3.9,Yes,Walk-In
GM-6031,2026-07-15,Penang,35-44,Male,Standard,120,8,No,2.6,No,Walk-In
GM-6032,2026-06-24,Alor Setar,18-24,Male,Basic,80,5,Yes,3.6,Yes,Walk-In
GM-6033,2026-05-26,Kuala Lumpur,18-24,Male,Premium,180,14,No,2.8,Yes,University/Workplace
